get_exp : cur_node = 98, value = #b
get_t : cur_node = 98, value = #b
get_p : cur_node = 98, value = #b
get_var : cur_node = 98, value = #b
get_exp : cur_node = 100, value = #SqD
get_t : cur_node = 100, value = #SqD
get_p : cur_node = 100, value = #SqD
get_var : cur_node = 100, value = #SqD
get_func : cur_node = 102, value = ;
get_as : cur_node = 103, value = #x2
get_var : cur_node = 103, value = #x2
get_exp : cur_node = 105, value = CalcSecRoot
get_t : cur_node = 105, value = CalcSecRoot
get_p : cur_node = 105, value = CalcSecRoot
get_func : cur_node = 105, value = CalcSecRoot
get_var : cur_node = 105, value = CalcSecRoot
get_exp : cur_node = 107, value = #a
get_t : cur_node = 107, value = #a
get_p : cur_node = 107, value = #a
get_var : cur_node = 107, value = #a
get_func : cur_node = 108, value = ,
get_exp : cur_node = 109, value = #b
get_t : cur_node = 109, value = #b
get_p : cur_node = 109, value = #b
get_var : cur_node = 109, value = #b
get_exp : cur_node = 111, value = #SqD
get_t : cur_node = 111, value = #SqD
get_p : cur_node = 111, value = #SqD
get_var : cur_node = 111, value = #SqD
get_func : cur_node = 113, value = ;
get_exp : cur_node = 114, value = printf
get_t : cur_node = 114, value = printf
get_p : cur_node = 114, value = printf
get_func : cur_node = 114, value = printf
get_var : cur_node = 114, value = printf
get_exp : cur_node = 116, value = #x1
get_t : cur_node = 116, value = #x1
get_p : cur_node = 116, value = #x1
get_var : cur_node = 116, value = #x1
get_func : cur_node = 117, value = )
get_func : cur_node = 118, value = ;
get_exp : cur_node = 119, value = printf
get_t : cur_node = 119, value = printf
get_p : cur_node = 119, value = printf
get_func : cur_node = 119, value = printf
get_var : cur_node = 119, value = printf
get_exp : cur_node = 121, value = #x2
get_t : cur_node = 121, value = #x2
get_p : cur_node = 121, value = #x2
get_var : cur_node = 121, value = #x2
get_func : cur_node = 122, value = )
get_func : cur_node = 123, value = ;
get_exp : cur_node = 126, value = CalcDiscr
get_t : cur_node = 126, value = CalcDiscr
get_p : cur_node = 126, value = CalcDiscr
get_func : cur_node = 126, value = CalcDiscr
get_var : cur_node = 126, value = CalcDiscr
get_exp : cur_node = 128, value = #a
get_t : cur_node = 128, value = #a
get_p : cur_node = 128, value = #a
get_var : cur_node = 128, value = #a
get_func : cur_node = 129, value = ,
get_exp : cur_node = 130, value = #b
get_t : cur_node = 130, value = #b
get_p : cur_node = 130, value = #b
get_var : cur_node = 130, value = #b
get_exp : cur_node = 132, value = #c
get_t : cur_node = 132, value = #c
get_p : cur_node = 132, value = #c
get_var : cur_node = 132, value = #c
get_op : cur_node = 135, value = POSHLU
get_exp : cur_node = 136, value = #b
get_t : cur_node = 136, value = #b
get_p : cur_node = 136, value = #b
get_var : cur_node = 136, value = #b
get_p : cur_node = 138, value = #b
get_var : cur_node = 138, value = #b
get_t : cur_node = 140, value = 4
